#TYPE Selected.System.Security.AccessControl.FileSystemAccessRule
"Path","FileSystemRights","AccessControlType","IdentityReference","InheritanceFlags","IsInherited","PropagationFlags"
"D:\git\PhillyPosh\WSG2014_03_Acl-Calc-Toil-and-Trouble\Finance\Accounting\Shared","Read, Synchronize","Allow","NYUMC\grp_Finance","ContainerInherit, ObjectInherit","False","None"
"D:\git\PhillyPosh\WSG2014_03_Acl-Calc-Toil-and-Trouble\Finance\Accounting\Shared","Modify, Synchronize","Allow","NYUMC\grp_Accounting","ContainerInherit, ObjectInherit","False","None"
"D:\git\PhillyPosh\WSG2014_03_Acl-Calc-Toil-and-Trouble\Finance\Accounting\Shared","Read, Synchronize","Allow","NYUMC\grp_audit","ContainerInherit, ObjectInherit","True","None"
