#TYPE Selected.System.Security.AccessControl.FileSystemAccessRule
"Path","FileSystemRights","AccessControlType","IdentityReference","InheritanceFlags","IsInherited","PropagationFlags"
"D:\git\PhillyPosh\WSG2014_03_Acl-Calc-Toil-and-Trouble\Finance\Accounting\Lead","FullControl","Allow","NYUMC\grp_Accounting_lead","ContainerInherit, ObjectInherit","False","None"
"D:\git\PhillyPosh\WSG2014_03_Acl-Calc-Toil-and-Trouble\Finance\Accounting\Lead","Read, Synchronize","Allow","NYUMC\grp_audit","ContainerInherit, ObjectInherit","True","None"
