"ComputerName","ConfigChanged"
"adil-790-1","True"
"adil-w7x32vm1","False"
"adil-w7x32vm2","False"
"adil-w7x64vm1","False"
"adil-winxpvm1","False"
"dummyserver","N/A"
"lonpocexc01","N/A"
"lonpocexc02","N/A"
"lonpocexc03","N/A"
