"DisplayName","DisplayVersion","InstallDate","Publisher","EstimatedSize","UninstallString","WindowsInstaller"
"Microsoft Office Shared 64-bit MUI (English) 2010","14.0.6029.1000","20120816","Microsoft Corporation","11554","MsiExec.exe /X{90140000-002A-0409-1000-0000000FF1CE}","1"
"Microsoft Office Shared 64-bit Setup Metadata MUI (English) 2010","14.0.6029.1000","20120816","Microsoft Corporation","646","MsiExec.exe /X{90140000-0116-0409-1000-0000000FF1CE}","1"
"Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.21005","12.0.21005","20131025","Microsoft Corporation","11784","MsiExec.exe /X{929FBD26-9020-399B-9A7A-751D61F0B942}","1"
"Microsoft .NET Framework 4.5.1","4.5.50938",,"Microsoft Corporation","39732","C:\Windows\Microsoft.NET\Framework64\v4.0.30319\SetupCache\v4.5.50938\\Setup.exe /repair /x86 /x64",
"System Center Operations Manager 2012 Console","7.0.8560.0","20131022","Microsoft Corporation","98774","MsiExec.exe /I{95241780-B772-4A42-A1F0-8FA951FAF619}","1"
"Microsoft Network Monitor: NetworkMonitor Parsers 3.4","3.4.2350.0","20140121","Microsoft Corporation","20851","MsiExec.exe /I{963E5FEB-1367-46B9-851D-A957F1A3747F}","1"
"Windows Software Development Kit for Windows Store Apps DirectX x64 Remote","8.100.25984","20131025","Microsoft Corporation","12096","MsiExec.exe /I{96F4525A-470D-F15C-796E-58D9988C3E5F}","1"
"Microsoft Corporation","9.1.0.0","20131112","Microsoft Corporation","1694","MsiExec.exe /I{9C5A08BF-BB99-4998-81BD-F6CC32483B34}","1"
"Microsoft SQL Server 2012 Data-Tier App Framework  (x64)","11.1.2902.0","20131025","Microsoft Corporation","10372","MsiExec.exe /I{A6BA243E-85A3-4635-A269-32949C98AC7F}","1"
"Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.21005","12.0.21005","20131025","Microsoft Corporation","2532","MsiExec.exe /X{A749D8E6-B613-3BE3-8F5F-045C84EBA29B}","1"
"Quest ActiveRoles Management Shell for Active Directory (x64)","1.5.1.2421","20131007","Quest Software, Inc.","20795","MsiExec.exe /X{AFF7153F-C4AA-4C48-AEE9-8611D276CE86}","1"
"Windows Software Development Kit DirectX x64 Remote","8.59.29989","20131025","Microsoft Corporation","2168","MsiExec.exe /I{B74B199A-EDD4-B657-E055-327D454402D2}","1"
"DameWare Mini Remote Control 9.0","9.0.1.247","20131017","SolarWinds","75310","MsiExec.exe /I{B805B869-3A82-47EF-9B58-AAEE7E913F94}","1"
"Microsoft Team Foundation Server 2013 Object Model Language Pack (x64) - ENU","12.0.21005","20131025","Microsoft Corporation","740","MsiExec.exe /I{C41498FE-0BF8-3B22-9785-231CE53C728E}","1"
"Microsoft Visual C++ 2013 x64 Debug Runtime - 12.0.21005","12.0.21005","20131025","Microsoft Corporation","27128","MsiExec.exe /X{C596D608-3E74-3232-8CA5-DF1DCB9F10DE}","1"
"Microsoft SQL Server 2012 Native Client ","11.1.3000.0","20131025","Microsoft Corporation","7364","MsiExec.exe /I{D411E9C9-CE62-4DBF-9D92-4CB22B750ED5}","1"
"Microsoft Exchange Web Services Managed API 1.2","14.3.32.0","20131120","Microsoft Corporation","3257","MsiExec.exe /I{D445C9E2-5C7E-48B9-9307-6CED162C9030}","1"
"Data Protection Agent","3.4.5619.10914","20120709","Safend Ltd.","137898",,"1"
"Build Tools - amd64","12.0.21005","20131025","Microsoft Corporation","11272","MsiExec.exe /I{F74753A3-C93C-34F5-A199-993CAF602B7D}","1"
