"RegEntryNames","Value"
"MutePC","C:\Windows\System32\sysprep\Image\Mute.vbs"
"IgfxTray","C:\Windows\system32\igfxtray.exe"
"HotKeysCmds","C:\Windows\system32\hkcmd.exe"
"Persistence","C:\Windows\system32\igfxpers.exe"
"RTHDVCPL","C:\Program Files\Realtek\Audio\HDA\RtkNGUI64.exe -s"
"DameWare MRC Agent","C:\Windows\dwrcs\DWRCST.exe"
