"Caption","Name","VariableValue","SystemVariable","Username"
"ABERDEEN\admin-fr\TEMP","TEMP","%USERPROFILE%\AppData\Local\Temp","False","ABERDEEN\admin-fr"
"ABERDEEN\admin-fr\TMP","TMP","%USERPROFILE%\AppData\Local\Temp","False","ABERDEEN\admin-fr"
"ABERDEEN\admin-sd\TEMP","TEMP","%USERPROFILE%\AppData\Local\Temp","False","ABERDEEN\admin-sd"
"ABERDEEN\admin-sd\TMP","TMP","%USERPROFILE%\AppData\Local\Temp","False","ABERDEEN\admin-sd"
"ABERDEEN\admin-sc\TEMP","TEMP","%USERPROFILE%\AppData\Local\Temp","False","ABERDEEN\admin-sc"
"ABERDEEN\admin-sc\TMP","TMP","%USERPROFILE%\AppData\Local\Temp","False","ABERDEEN\admin-sc"
"ABERDEEN\Shane Dennery\TEMP","TEMP","%USERPROFILE%\AppData\Local\Temp","False","ABERDEEN\Shane Dennery"
"ABERDEEN\Shane Dennery\TMP","TMP","%USERPROFILE%\AppData\Local\Temp","False","ABERDEEN\Shane Dennery"
"ABERDEEN\Dan Egan\TEMP","TEMP","%USERPROFILE%\AppData\Local\Temp","False","ABERDEEN\Dan Egan"
"ABERDEEN\Dan Egan\TMP","TMP","%USERPROFILE%\AppData\Local\Temp","False","ABERDEEN\Dan Egan"
"ABERDEEN\Sunny Chakraborty\TEMP","TEMP","%USERPROFILE%\AppData\Local\Temp","False","ABERDEEN\Sunny Chakraborty"
"ABERDEEN\Sunny Chakraborty\TMP","TMP","%USERPROFILE%\AppData\Local\Temp","False","ABERDEEN\Sunny Chakraborty"
"ABERDEEN\Sunny Chakraborty\PSModulePath","PSModulePath","U:\WindowsPowerShell\Modules\","False","ABERDEEN\Sunny Chakraborty"
"IIS APPPOOL\DefaultAppPool\TEMP","TEMP","%USERPROFILE%\AppData\Local\Temp","False","IIS APPPOOL\DefaultAppPool"
"IIS APPPOOL\DefaultAppPool\TMP","TMP","%USERPROFILE%\AppData\Local\Temp","False","IIS APPPOOL\DefaultAppPool"
