"PSComputerName","__GENUS","__CLASS","__SUPERCLASS","__DYNASTY","__RELPATH","__PROPERTY_COUNT","__DERIVATION","__SERVER","__NAMESPACE","__PATH","AccessMask","AllowMaximum","Caption","Description","InstallDate","MaximumAllowed","Name","Path","Status","Type"
"AHSYS","2","Win32_Share","CIM_LogicalElement","CIM_ManagedSystemElement","Win32_Share.Name=""ADMIN$""","10","System.String[]","AHSYS","root\cimv2","\\AHSYS\root\cimv2:Win32_Share.Name=""ADMIN$""",,"True","Remote Admin","Remote Admin",,,"ADMIN$","C:\WINDOWS","OK","2147483648"
"AHSYS","2","Win32_Share","CIM_LogicalElement","CIM_ManagedSystemElement","Win32_Share.Name=""C$""","10","System.String[]","AHSYS","root\cimv2","\\AHSYS\root\cimv2:Win32_Share.Name=""C$""",,"True","Default share","Default share",,,"C$","C:\","OK","2147483648"
"AHSYS","2","Win32_Share","CIM_LogicalElement","CIM_ManagedSystemElement","Win32_Share.Name=""D$""","10","System.String[]","AHSYS","root\cimv2","\\AHSYS\root\cimv2:Win32_Share.Name=""D$""",,"True","Default share","Default share",,,"D$","D:\","OK","2147483648"
"AHSYS","2","Win32_Share","CIM_LogicalElement","CIM_ManagedSystemElement","Win32_Share.Name=""F$""","10","System.String[]","AHSYS","root\cimv2","\\AHSYS\root\cimv2:Win32_Share.Name=""F$""",,"True","Default share","Default share",,,"F$","F:\","OK","2147483648"
"AHSYS","2","Win32_Share","CIM_LogicalElement","CIM_ManagedSystemElement","Win32_Share.Name=""IPC$""","10","System.String[]","AHSYS","root\cimv2","\\AHSYS\root\cimv2:Win32_Share.Name=""IPC$""",,"True","Remote IPC","Remote IPC",,,"IPC$","","OK","2147483651"
"AHSYS","2","Win32_Share","CIM_LogicalElement","CIM_ManagedSystemElement","Win32_Share.Name=""print$""","10","System.String[]","AHSYS","root\cimv2","\\AHSYS\root\cimv2:Win32_Share.Name=""print$""",,"True","Printer Drivers","Printer Drivers",,,"print$","C:\WINDOWS\system32\spool\drivers","OK","0"
"AHSYS","2","Win32_Share","CIM_LogicalElement","CIM_ManagedSystemElement","Win32_Share.Name=""VM""","10","System.String[]","AHSYS","root\cimv2","\\AHSYS\root\cimv2:Win32_Share.Name=""VM""",,"True","VM","",,,"VM","C:\VM","OK","0"
"AHSYS","2","Win32_Share","CIM_LogicalElement","CIM_ManagedSystemElement","Win32_Share.Name=""X$""","10","System.String[]","AHSYS","root\cimv2","\\AHSYS\root\cimv2:Win32_Share.Name=""X$""",,"True","Default share","Default share",,,"X$","X:\","OK","2147483648"
